ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,SAP_INSTANCES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES,DATABASES
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100,A9E
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100, A9E
dcp,legdgn01,dcpaix21414800,dcppwr21175799,10.141.64.91,60,149,,DVEBMGS79 DVEBMGS81,SMDA75 SMDA63 SMDA76,lincia9e7900 lincia1e8100,lincia9e7900 lindba9e7900c4 lincia1e8100,A9E
dcp,legdgn01,dcpaix21415737,dcppwr21175799,10.141.64.131,70,149,,,,,, -inherit
dcp,legdgn01,dcpaix21493218,dcppwr21091681,10.141.64.72,22,149,,,SMDA96,,lindbm2e2900c4,M2E
dcp,legdgn01,dcpaix21489534,dcppwr21175815,10.141.64.37,41,149,,DVEBMGS29,SMDA97,lincim2e2900,lincim2e2900,
dcp,legdgn01,dcpaix21518054,dcppwr21175799,10.141.64.76,25,149,,,,,,JMG MGB
dcp,legdgn01,dcpaix21517856,dcppwr21137192,10.141.64.149,26,149,,DVEBMGS48 DVEBMGS49,SMDA71,lincisgu4800 lincidgu4900,lincisgu4800,
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,,SMDA28,,lindbsgu4800c4, DGU SGU
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB JMG,DVEBMGS13 SCS04,,lincimgb1300 linjijmg4100,,LISTENER
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,,SMDA28,,lindbsgu4800c4,DGU SGU
dcp,legdgn01,dcpaix21530125,dcppwr21091681,10.141.64.203,62,149,S9B,DVEBMGS14,,lincis9b1400,, S9B
dcp,legdgn01,dcpaix21530125,dcppwr21091681,10.141.64.203,62,149,S9B,DVEBMGS14,,lincis9b1400,,S9B
dcp,legdgn01,dcpaix21517865,dcppwr21137192,10.141.64.153,16,149,TGE,DVEBMGS15,,lincitge1500,,
dcp,legdgn01,dcpaix21530141,dcppwr21091681,10.141.64.218,17,149,,,,,, TGE
dcp,legdgn01,dcpaix21579014,dcppwr21402010,10.141.64.243,30,149,,,SMDA32,,lindbs8b5400c4,S8B
dcp,legdgn01,dcpaix21578870,dcppwr21175815,10.141.64.133,43,149,,DVEBMGS54,SMDA88,lincis8b5400,lincis8b5400,
dcp,legdgn01,dcpaix21578138,dcppwr21402621,10.141.64.109,62,149,,DVEBMGS73,SMDA25 SMDA95,lincis1b7300,lindbs1b7300c4 lincis1b7300, S1B
dcp,legdgn01,dcpaix21578138,dcppwr21402621,10.141.64.109,62,149,,DVEBMGS73,SMDA25 SMDA95,lincis1b7300,lindbs1b7300c4 lincis1b7300, S1B
dcp,legdgn01,dcpaix21578123,dcppwr21402621,10.141.64.190,106,149,,,,,,AGU
dcp,legdgn01,dcpaix21585299,dcppwr19322710,10.141.64.231,42,149,,DVEBMGS20,SMDA78,linciagu2000,linciagu2000,
dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,,,SMDA93 SMDA83,,lindbgd81800c4 lindbgq82800c4,GD8 GQ8
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,,DVEBMGS18 DVEBMGS28,SMDA81 SMDA96,lincigd81800 lincigq82800,lincigq82800 lincigd81800,
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,,SCB SCJ
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,, SCB SCJ
dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,,,SMDA93 SMDA83,,lindbgd81800c4 lindbgq82800c4,GD8 GQ8
dcp,legdgn01,dcpaix21578623,dcppwr21175815,10.141.64.237,27,149,,DVEBMGS18 DVEBMGS28,SMDA81 SMDA96,lincigd81800 lincigq82800,lincigq82800 lincigd81800,
dcp,legdgn01,dcpaix21530129,dcppwr21091681,10.141.64.206,42,149,,,SMDA28,,lindbsgu4800c4,DGU SGU
dcp,legdgn01,dcpaix21517856,dcppwr21137192,10.141.64.149,26,149,,DVEBMGS48 DVEBMGS49,SMDA71,lincisgu4800 lincidgu4900,lincisgu4800,
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4,BWD
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4,BWD
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,,,SMDA70 SMDA66,,lindbgdb5300c4 lindbgqb6300c4,GDB GQB
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,,DVEBMGS53 DVEBMGS63 SCS54 SCS64,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300,
dcp,legdgn01,dcpaix21622719,dcppwr21402010,10.141.64.212,26,149,,,,,,GDU
dcp,legdgn01,dcpaix21614642,dcppwr21175815,10.141.64.147,49,149,GDU,DVEBMGS65,,lincigdu6500,,
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,,,SMDA64 SMDA78,,lindbzq26600c4 lindbzd25600c4, ZD2 ZQ2
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,,,SMDA70 SMDA66,,lindbgdb5300c4 lindbgqb6300c4,GDB GQB
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,,DVEBMGS53 DVEBMGS63 SCS54 SCS64,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300,
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600,
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,,DVEBMGS50,SMDA89 SMDA77,lincigda5000,lincigda5000 lindbgda5000c4,GDA
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,,DVEBMGS50,SMDA89 SMDA77,lincigda5000,lincigda5000 lindbgda5000c4, GDA
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4,BWQ
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4,BWQ
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,,,SMDA64 SMDA78,,lindbzq26600c4 lindbzd25600c4, ZD2 ZQ2
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600,
dcp,legdgn01,dcpaix21677939,dcppwr21175818,10.141.65.77,18,149,,SCS26,JC27,linjigdf2700,linjigdf2700,
dcp,legdgn01,dcpaix21676879,dcppwr21402010,10.141.65.37,15,149,,,,,,GDF
dcp,legdgn01,dcpaix21677911,dcppwr21175818,10.141.65.81,39,149,,SCS10,JC11,linjigdl1100,linjigdl1100,
dcp,legdgn01,dcpaix21676882,dcppwr21402010,10.141.65.43,23,149,,,SMDA71,,linjdgdl1100c4, GDL
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,DVEBMGS07,,lincipfe0700,, PFE
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,DVEBMGS07,,lincipfe0700,, PFE
dcp,legdgn01,dcpaix21701257,dcppwr21175812,10.141.65.65,24,149,,SCS29,JC30,linjigqf3000,linjigqf3000,
dcp,legdgn01,dcpaix21702346,dcppwr21175812,10.141.65.59,23,149,,,J31,,linjigqf3100,
dcp,legdgn01,dcpaix21702425,dcppwr21402010,10.141.65.112,22,149,,,,,,GQF
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900, AGB JGB
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900,AGB JGB
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,,SCS37,JC36,linjipd13600,linjipd13600, PD1
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,,SCS37,JC36,linjipd13600,linjipd13600, PD1
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900, AGB JGB
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900,AGB JGB
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,DVEBMGS02,,linciage0200,, AGE
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,DVEBMGS02,,linciage0200,,AGE
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,,,SMDA66 SMDA64,,lindbhqs2100c4 lindbhps2200c4,HQS HPS
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,DVEBMGS22 DVEBMGS21,,lincihps2200 lincihqs2100,,
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB JMG,DVEBMGS13 SCS04,,lincimgb1300 linjijmg4100,,LISTENER
dcp,legdgn01,dcpaix21518054,dcppwr21175799,10.141.64.76,25,149,,,,,,JMG MGB
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,,SCS18,JC19,linjigql1900,linjigql1900,
dcp,legdgn01,dcpaix21765574,dcppwr21175815,10.141.65.173,37,149,,,J20,,linjigql2000,
dcp,legdgn01,dcpaix21763143,dcppwr21175793,10.141.65.154,12,149,,,,,, GQL
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,,SCB SCJ
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,, SCB SCJ
dcp,legdgn01,dcpaix21762210,dcppwr21402010,10.141.65.125,13,149,,,SMDA62,,linjdgrl1500c4, GRL
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,,SCS14,JC15 SMDA93,linjigrl1500,linjigrl1500 linjigrl1500,
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,,SCS35,JC34,linjipt13400,linjipt13400,PT1
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,,SCS35,JC34,linjipt13400,linjipt13400, PT1
dcp,legdgn01,dcpaix21761953,dcppwr21695550,10.141.65.127,35,149,,,,,,S02
dcp,legdgn01,dcpaix21765423,dcppwr21175815,10.141.65.177,25,149,S02,DVEBMGS25,,lincis022500,,
dcp,legdgn01,dcpaix21798716,dcppwr21175793,10.141.65.188,73,149,,,SMDA67,,lindbgqa6000c4,GQA
dcp,legdgn01,dcpaix21797466,dcppwr21656281,fe80::b838:7dff:fe5b:e20e%3/64,43,149,GQA,DVEBMGS60,,cigqa60,,
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,DVEBMGS28,,lincid032800,,D03
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,DVEBMGS28,,lincid032800,,D03
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,,,SMDA66 SMDA64,,lindbhqs2100c4 lindbhps2200c4,HQS HPS
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,DVEBMGS22 DVEBMGS21,,lincihps2200 lincihqs2100,,
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,DVEBMGS27,,lincit032700,,T03
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,DVEBMGS27,,lincit032700,,T03
dcp,legdgn01,dcpaix21404209,dcppwr21091681,10.141.64.64,9,149,,,,,,SGE
dcp,legdgn01,dcpaix21404395,dcppwr19322687,10.141.64.68,14,149,,DVEBMGS11,SMDA92,lincisge1100,lincisge1100,
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200,S9E
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200,S9E
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,DVEBMGS63,,lincis2e6300,,S2E
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,DVEBMGS63,,lincis2e6300,,S2E
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300, S1E
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300, S1E
dcp,legdgn01,dcpaix21322795,dcppwr21091681,10.141.64.199,12,149,,,,,,QNU
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400,
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,,GDT
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,,GDT
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600,
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,,,,#NAME?
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,,,,DGH -inherit
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,
dcp,legdgn01,dcpaix21404421,dcppwr21137046,10.141.64.21,21,149,,,,,,DGE
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,11,149,DGE,DVEBMGS10,,lincidge1000,,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,,,,DGH -inherit
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,
dcp,legpgi01,dcpaix21404635,dcppwr19322687,10.141.112.41,17,327,,SCS05,JC04,linjipgd0400,linjipgd0400,
dcp,legpgi01,dcpaix21408740,dcppwr21175799,10.141.112.62,51,327,,,SMDA82,,lindbpgx3200c4, PGX
dcp,legpgi01,dcpaix21404401,dcppwr21137049,10.141.112.39,83,327,,SCS33 DVEBMGS32,SMDA86,lincipgx3200 lincipgx3200,lincipgx3200,
dcp,legpgi01,dcpaix21408733,dcppwr21091681,10.141.112.64,13,327,,,,,,PGD
dcp,legpgn01,dcpaix21296602,dcppwr21091687,10.141.64.106,50,149,,,SMDA98,,lincidd15600,
dcp,legpgn01,dcpaix21289331,dcppwr19322693,10.141.64.104,13,149,,SCS06,JC07,linjipgi0700,linjipgi0700,
dcp,legpgn01,dcpaix21290035,dcppwr21091681,10.141.64.19,7,149,,,,,, PGI
dcp,legpgn01,dcpaix21289337,dcppwr21091687,10.141.64.40,47,149,,,SMDA81,,lindbpgh5900c4, -inherit
dcp,legpgn01,dcpaix21290383,dcppwr21137049,10.141.64.50,148,149,,DVEBMGS59,SMDA87,lincipgh5900,lincipgh5900,
dcp,legpgn01,dcpaix21335701,dcppwr21091681,10.141.64.144,16,149,,,SMDA79 SMDA43,,lindbpnu4200c4 linjdpn24300c4,PNU PN2
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,,SCS44 DVEBMGS42,JC43 SMDA80 SMDA83,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300,
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,,SCS44 DVEBMGS42,JC43 SMDA80 SMDA83,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300,
dcp,legpgn01,dcpaix21335701,dcppwr21091681,10.141.64.144,16,149,,,SMDA79 SMDA43,,lindbpnu4200c4 linjdpn24300c4,PNU PN2
dcp,legpgn01,dcpaix21289487,dcppwr21091687,10.141.64.42,13,149,,,SMDA80,,lindbgpt2000c4,GPT
dcp,legpgn01,dcpaix21290504,dcppwr21137049,10.141.64.52,14,149,GPT GPT,DVEBMGS20 SCS21,,lincigpt2000 lincigpt2000,,
dcp,legpgn01,dcpaix21540532,dcppwr19322710,10.141.64.188,12,149,P7E,DVEBMGS46,,lincip7e4600,,
dcp,legpgn01,dcpaix21484304,dcppwr21175799,10.141.64.54,120,149,,,SMDA32,,lindbp8e4700c4,P7E P8E -inherit
dcp,legpgn01,dcpaix21518072,dcppwr21175812,10.141.64.174,47,149,,DVEBMGS24,SMDA72,lincip9e2400,lincip9e2400,
dcp,legpgn01,dcpaix21530150,dcppwr21091681,10.141.64.201,73,149,,,,,, -inherit
dcp,legpgn01,dcpaix21518063,dcppwr21175812,10.141.64.135,50,149,,,SMDA54 SMDA55,,linapp9e6800 linapp9e6700,
dcp,legpgn01,dcpaix21518063,dcppwr21175812,10.141.64.135,50,149,,,SMDA54 SMDA55,,linapp9e6800 linapp9e6700,
dcp,legpgn01,dcpaix21518136,dcppwr21175812,10.141.64.172,60,149,,,SMDA53,,linapp9e1200,
dcp,legpgn01,dcpaix21518048,dcppwr21175812,10.141.64.138,40,149,,,,,,
dcp,legpgn01,dcpaix21484304,dcppwr21175799,10.141.64.54,120,149,,,SMDA32,,lindbp8e4700c4,P7E P8E -inherit
dcp,legpgn01,dcpaix21517960,dcppwr21137049,10.141.64.178,60,149,,DVEBMGS47,SMDA80,lincip8e4700,lincip8e4700,
dcp,legpgn01,dcpaix21517859,dcppwr21137049,10.141.64.182,80,149,,,SMDA58,,linapp8e1300,
dcp,legpgn01,dcpaix21517880,dcppwr21175812,10.141.64.176,50,149,,,SMDA57,,linapp8e3100,
dcp,legpgn01,dcpaix21484304,dcppwr21175799,10.141.64.54,120,149,,,SMDA32,,lindbp8e4700c4,P7E P8E -inherit
dcp,legpgn01,dcpaix21489540,dcppwr21175812,10.141.64.35,48,149,,DVEBMGS45,SMDA84,lincip6e4500,lincip6e4500,
dcp,legpgn01,dcpaix21618057,dcppwr21402010,10.141.65.23,62,149,,,,,,GCU
dcp,legpgn01,dcpaix21613970,dcppwr21175815,10.141.64.119,56,149,,SCS00,JC87,linjigcu8700,linjigcu8700,
dcp,legpgn01,dcpaix21622728,dcppwr21402621,10.141.64.87,97,149,,DVEBMGS83,SMDA39 SMDA82,lincipgu8300,lindbpgu8300c4 lincipgu8300,LISTENER PGU
dcp,legpgn01,dcpaix21622728,dcppwr21402621,10.141.64.87,97,149,,DVEBMGS83,SMDA39 SMDA82,lincipgu8300,lindbpgu8300c4 lincipgu8300,LISTENER PGU
dcp,legpgn01,dcpaix21671692,dcppwr21402010,10.141.65.49,105,149,,,SMDA38,,lindbprd0000c4,PRD PRD
dcp,legpgn01,dcpaix21677177,dcppwr21175821,10.141.65.17,120,149,,DVEBMGS00,SMDA76,linciprd0000,linciprd0000,
dcp,legpgn01,dcpaix21677762,dcppwr21175821,10.141.65.61,26,149,,,SMDA52,,linapprd4200,
dcp,legpgn01,dcpaix21677771,dcppwr21175821,10.141.65.55,200,149,,,SMDA51 SMDA40 SMDA52,,linapprd4300 linapprd4400 linapprd4100,
